day,run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
60,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9560437833867904,0.9419848292915993,0.9573329810510309,0.9689242734176002,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,17,0.068
61,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9567916501997199,0.9432574422915599,0.9580613932261896,0.96934896414344,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,17,0.068
62,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9575644913553598,0.9444681062124587,0.9588678581766712,0.9693470565927723,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,11,0.04400000000000001
63,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9581608566326462,0.9455019638677032,0.9592677377037686,0.9694051812451907,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,25,0.1
64,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.958819312610337,0.9456848965008379,0.9595886439887195,0.9696826317530997,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.056
65,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9594166466793053,0.9465725186920089,0.9603591048990818,0.9699098155602639,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
66,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9599190101392487,0.9474532444832506,0.9612013488568594,0.9702914586913085,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,21,0.08399999999999999
67,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9604636387861203,0.9478468541958145,0.9618074733691413,0.9704049243727937,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.05600000000000001
68,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.960889323357537,0.9486671003582993,0.9621533778095535,0.9704075003032397,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,22,0.08800000000000001
69,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9612825258366736,0.94921756662897,0.962565701356664,0.9707321065945302,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,23,0.09200000000000001
70,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9617104380738148,0.9500900837811082,0.9630332437861241,0.9710342209128131,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,17,0.068
71,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9620810314456936,0.9506644864552704,0.9632177646882422,0.9710835385617023,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,21,0.084
72,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9624478230973705,0.9513101461379883,0.9636539487669471,0.9713282779348333,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
73,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9628213766089408,0.9520338846487835,0.9639738360102227,0.9714722758372669,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
74,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9631978019273155,0.9524541917364775,0.9642294520341853,0.9717439903969425,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,13,0.05200000000000001
75,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9635400839845453,0.9531800518092036,0.9646814136520876,0.9718568283334826,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.056
76,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9638108476013447,0.9532322572208016,0.9649196568107385,0.9719135178322389,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,20,0.08
77,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9639563850511403,0.9538603875511777,0.9648630122081487,0.9720493528598285,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,31,0.12399999999999999
78,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9642337457725205,0.9542378441311836,0.9650285982343096,0.9722019337031746,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
79,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9645023063352075,0.9550352123291646,0.9650159115218752,0.9724016615170772,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.06400000000000002
80,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9646667715767536,0.9553790357696291,0.9653337778280188,0.9723496275374574,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,25,0.10000000000000003
81,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9649010951493018,0.9556950568938793,0.9653993973138059,0.9725896830562728,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
